======================================================================
Training for 200 iterations
Checkpoints will be saved to: checkpoints\gnn_validation
This will take approximately 30-60 minutes...

Starting training for 200 iterations...
Device: cpu
Map: simple_6
Policy: GCN (128x3)

Iteration 124/200 | Reward: 1.625 | Length: 50.0 | Episodes: 5170
Iteration 125/200 | Reward: 1.509 | Length: 50.0 | Episodes: 5211
Iteration 126/200 | Reward: 1.670 | Length: 50.0 | Episodes: 5252
Iteration 127/200 | Reward: 1.749 | Length: 50.0 | Episodes: 5294
Iteration 128/200 | Reward: 1.693 | Length: 50.0 | Episodes: 5334
Iteration 129/200 | Reward: 1.621 | Length: 50.0 | Episodes: 5374
Iteration 130/200 | Reward: 1.546 | Length: 48.2 | Episodes: 5415
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000130.pt
Iteration 131/200 | Reward: 1.569 | Length: 50.0 | Episodes: 5455
Iteration 132/200 | Reward: 1.512 | Length: 49.6 | Episodes: 5496
Iteration 133/200 | Reward: 1.576 | Length: 50.0 | Episodes: 5536
Iteration 134/200 | Reward: 1.532 | Length: 50.0 | Episodes: 5576
Iteration 135/200 | Reward: 1.645 | Length: 50.0 | Episodes: 5617
Iteration 136/200 | Reward: 1.577 | Length: 50.0 | Episodes: 5658
Iteration 137/200 | Reward: 1.538 | Length: 50.0 | Episodes: 5699
Iteration 138/200 | Reward: 1.491 | Length: 50.0 | Episodes: 5739
Iteration 139/200 | Reward: 1.628 | Length: 50.0 | Episodes: 5779
Iteration 140/200 | Reward: 1.550 | Length: 50.0 | Episodes: 5820
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000140.pt
Iteration 141/200 | Reward: 1.619 | Length: 50.0 | Episodes: 5860
Iteration 142/200 | Reward: 1.757 | Length: 50.0 | Episodes: 5900
Iteration 143/200 | Reward: 1.503 | Length: 50.0 | Episodes: 5941
Iteration 144/200 | Reward: 1.551 | Length: 50.0 | Episodes: 5982
Iteration 145/200 | Reward: 1.561 | Length: 49.7 | Episodes: 6023
Iteration 146/200 | Reward: 1.771 | Length: 50.0 | Episodes: 6063
Iteration 147/200 | Reward: 1.436 | Length: 50.0 | Episodes: 6103
